% NTS
%Depth	Dip_Direction from north	Dip_Angle	Criticality
2393.3   202.300003  38.099998   0
2395.0   273.600006  26.799999   0
2396.9   261.799988  26.799999   0
2397.7   295.899994  24.200001   0
2398.7   240.899994  36.099998   0
2399.2   236.899994  33.900002   0
2400.0   240.899994  24.200001   0
2401.6   239.6       19.7        0
2410.6   223.199997  19.700001   0
2411.2   194.4       30.9        0
2413.8   229.699997  47.099998   0
2414.9   193.100006  28.299999   0
2415.1   187.899994  30.9        0
2417     190.5       52.7        0
2418.1   197.699997  19.700001   0
2420.7   195.699997  10.1        0
2421.2   191.100006  19.700001   0
2422.7   98.199997   13.4        0
2427.1   34.700001   68.199997   0
2430.2   301.700012  22.700001   0
2433.5   75.300003   51.400002   0
2437.4   75.3        72.5        0
2438.9   84.400002   50.099998   0
2439.8   288         16.6        0
2440.1   125.7       45.5        0
2441.3   248.699997  22.700001   0
2442.6   232.399994  39.900002   0
2443.3   199         39.900002   0
2444.8   114.5       37.799999   0
2446.7   231.100006  47.099998   0
2447.5   237.600006  48.599998   0
2448.3   266.399994  37.799999   0
2449.1   237.600006  41.900002   0
2450.6   65.5        58.200001   0
2451.6   239.600006  58.200001   0
2452.5   266.399994  30.9        0
2453.3   250.699997  64.400002   0
2454.4   67.400002   57.200001   0
2455.5   255.899994  59.099998   0
2456.7   189.199997  30.9        0
2457.1   197.699997  59.099998   0
2457.3   129.399994  75.5        1
2458.3   158.3       51.1        1
2458.5   158.399994  45.5        0
2460.1   259.899994  45.5        0
2461.3   226.5       43.700001   0
2469.1   103.1       40.3        0
2478.6   236.300003  58.599998   0
2480.8   263.799988  57.599998   0
2481.1   267.7       51.8        0
2483.6   68.099998   33.700001   0
2487.4   100.099998  20          0
2495.6   252         61.200001   0
2498.4   41.200001   33.700001   0
2499.9   185.2       50.5        0
2501.6   154.5       40.3        0
2519.3   249.399994  63.400002   0
2521.2   26.8        49.2        0
2530.8   244.800003  76.5        0
2536.3   344.299988  28.299999   0
2537.2   337.7       77.3        1
2539.9   358.7       58.2        1
2546.2   43.900002   41.900002   0
2548.0   176.699997  13.4        0
2548.2   130.9       48.6        1
2548.7   319.399994  19.700001   0
2549.4   191.100006  41.900002   0
2554.2   300.4       63.8        1
2559.0   18.299999   40          0
2559.3   5.9         25.6        0
2560.8   43.200001   33.400002   0
2561.5   206.800003  28.299999   0
2562.7   41.200001   52.799999   0
2563.5   321.4       51.5        1
2582.7   208.800003  33.299999   0
2584.4   220.600006  59.099998   0
2586.0   277.5       52.700001   0
2586.5   235         43.700001   0
2587.4   64.800003   22.700001   0
2588.4   65.5        33.299999   0
2589.1   327.3       45.4        0
2590.1   345.6       30.8        0
2596.2   170.800003  13.4        0
2597.9   156.399994  35.599998   0
2598.6   123.699997  19.700001   0
2600.1   115.900002  28.299999   0
2601     161         64.4        1
2602.2   181.3       59.1        1
2603.6   318.799988  48.599998   1
2612.6   170.8       65.1        1
2613.6   265.100006  46          0
2614.9   200.399994  9.8         0
2615.8   158.2       73          1
2620.3   249.899994  74.099998   0
2621.7   160.2       53.8        1
2622     153.6       72          1
2624.5   86.400002   64.900002   0
2625.3   75.800003   72.900002   0
2627.0   281.5       34.299999   0
2628.1   332.299988  30.9        0
2630.4   204.399994  73.699997   0
2631.4   125.3       72.4        1
2634.1   143.899994  30.799999   0
2635.2   176.7       74          1
2636.6   81.5        76.800003   0
2637.1   17.1        71.400002   0
2638.4   141.9       62.9        1
2639.3   79.5        45.599998   0
2640.7   228         56.799999   0
2641.7   58.5        37.400002   0
2642.4   241.100006  61.900002   0
2643.1   288.399994  55.400002   0
2645.0   270         62          0
2645.2   265.399994  55.400002   0
2647.1   159.600006  40.5        0
2648.9   192.5       65.8        1
2650.7   296.299988  27.1        0
2651.6   293.6       69.9        1
2652.2   293.6       73.3        1
2653.3   74.199997   66.599998   0
2654.9   306.100006  45.700001   0
2654.9   306.1       45.7        0
2656.6   299.600006  50.099998   1
2656.6   299.6       50.1        1
2657.6   170.100006  43.200001   0
2658.1   354.7       55          1
2659.1   247         51.299999   0
2666.4   281.5       67.3        1
2666.4   281.5       67.300003   1
2674.7   346.8       67.3        1
2674.7   346.799988  67.300003   1
2677.8   5.3         82.800003   1
2678.6   5.3         82.900002   1
2679.2   5.3         75.9        1
2679.4   5.9         49.599998   0
2679.8   10.5        68.400002   1
2680.6   113.599998  39.099998   0
2684.0   346.899994  49.599998   1
2684     346.9       49.6        1
2684.6   355.399994  32.299999   0
2685.8   2           62.200001   1
2686     305.5       75.9        1
2686.3   344.899994  53.599998   1
2687.2   358         66.099998   1
2687.2   358         66.1        1
2688.2   358         68.4        1
2688.2   358         68.400002   1
2689.3   17.1        66.099998   0
2691.5   171.5       19.9        0
2695.0   321.899994  76          0
2699.5   281.200012  40.5        0
2700.3   317.3       65.8        1
2702.3   325.200012  14.4        0
2703.7   310.100006  34.400002   0
2704.7   314.700012  43.200001   0
2705.5   53.900002   76          0
2706.8   115.6       75.4        1
2707.9   324.5       63          1
2707.9   324.5       63          1
2709.4   144.5       23.1        0
2711.5   151.800003  27.1        0
2713.5   146.5       80.5        0
2716.5   135.3       66.6        1
2717.3   140.600006  34.299999   0
2719.7   143.9       69.3        1
2721     285.8       64.9        1
2721.5   275.299988  60.900002   0
2725.1   230.399994  34.400002   0
2727.2   188.5       68.099998   1
2727.2   188.5       68.1        1
2728.8   301.1       58.5        1
2733.6   240.199997  45.799999   0
2734.5   320.700012  27.200001   0
2735.3   83.099998   71.099998   0
2737.6   157.7       74.1        1
2738.1   181.3       74.5        1
2740.3   309.600006  23.200001   0
2741.7   326.6       50.2        1
2743.8   19.6        9.7         0
2744.6   211.399994  45.799999   0
2748.9   255.300003  72.099998   0
2749.8   312.2       61          1
2753.2   251.300003  50.200001   0
2754.1   225.800003  62.099998   0
2755.9   265.399994  24.1        0
2757.4   144.5       60.8        1
2765.4   199.100006  70          0
2767.8   113         31          0
2768.9   47.099998   40.599998   0
2769.1   20.299999   43.099998   0
2771.7   350.799988  54.5        1
2772     351.5       70.4        1
2775.6   286.700012  40.599998   0
2779.9   333.8       73.4        1
2779.9   333.799988  73.400002   1
2780.9   30.1        65.400002   0
2781.4   34          56          0
2785.4   188.5       63.8        1
2787.6   219.300003  39.599998   0
2789.8   246.800003  31.1        0
2791.5   213.399994  63.799999   0
2792.4   248.100006  68.099998   0
2794.6   235.600006  70.699997   0
2796.0   331.899994  20.6        0
2797.6   111.300003  48.5        0
2798.1   206.800003  52          0
2801.5   260.5       40.599998   0
2809.7   118.5       31          0
2813.1   277.5       64.099998   0
2815.4   58.299999   31.799999   0
2816.7   55.599998   40.200001   0
2817.3   47.099998   37.299999   0
2822.0   267.700012  51.799999   0
2823.5   284.700012  37.299999   0
2824.5   102.800003  43          0
2825.4   200.899994  40.200001   0
2826.5   194.399994  40.200001   0
2827.3   189.8       55.2        0
2828.9   182         58.1        1
2828.9   199         14.2        0
2829.3   206.800003  65.599998   0
2829.4   197         63.8        0
2830.1   206.199997  71.300003   0
2831.5   194.4       60.6        0
2833.2   200.300003  26.9        0
2834.8   197         9.6         0
2835.0   190.5       9.6         0
2838.5   191.800003  14.2        0
2839.8   141.399994  14.2        0
2842.2   236.300003  69.699997   0
2844.6   90.300003   14.2        0
2851.3   284.700012  77          1
2852.8   172.800003  37.299999   0
2853.8   168.2       75.6        1
2854.8   252.699997  70.800003   0
2855.3   272.299988  18.700001   0
2856.3   118.5       63.8        1
2857.8   174.1       55.2        1
2858.5   161.7       55.2        1
2863.9   1.3         43.8        0
2865.2   53          27.6        0
2867.9   274.299988  57.5        0
2868.9   21.6        70.8        0
2869.7   61.5        66.199997   0
2872.0   210.100006  54.299999   0
2873.5   165.6       75.4        1
2875.1   290.600006  48.5        0
2876     187.9       77.2        1
2885.6   206.8       69.1        0
2887.2   164.899994  14.3        0
2891.1   191.8       49.8        0
2902.9   359.3       60.6        1
2902.9   359.299988  60.599998   1
2903.5   274.899994  37.299999   0
2909.5   46.5        65.599998   0
2913.9   159.1       68.5        1
2919.0   244.800003  47.700001   0
2919.9   252         26.9        0
2920.7   13.7        67.8        0
2923.9   346.299988  55.200001   1
2924.1   355.399994  34.099998   0
2926.9   324         45.400002   0
2928.0   274.299988  37.299999   0
2930.5   189.2       63.8        1
2931.7   279.5       67.800003   0
2936.4   28.1        26.9        0
2937.1   180         14.3        0
2938.7   266.399994  22.9        0
2940.4   87.099998   22.9        0
2943.7   305.7       49.9        1
2945.2   286.700012  37.299999   0
2947.3   306.299988  30.700001   0
2948.1   314.799988  0           0
2951.3   246.800003  56.700001   0
2952.2   130.3       64.7        1
2954.4   341         14.2        0
2955.3   74.599998   69.699997   0
2961.0   218         59.400002   0
2963.4   172.1       62.8        1
2964.5   104.7       68.5        1
2965.2   143.300003  34.400002   0
2966.6   108.699997  38.099998   0
2967.5   56.900002   26.1        0
2969.1   252.699997  51.900002   0
2970.0   207.5       67.800003   0
2972.4   324.7       55.8        1
2973.0   85.099998   72.300003   0
2974.7   32.099998   47.099998   0
2977.3   62.200001   51.900002   0
2978.5   116.5       59          1
2980.6   74          63.599998   0
2981.6   3.3         34.900002   0
2984.9   310.3       77.5        1
2988.0   203.600006  61.299999   0
2991.5   282.799988  23.5        0
2992.0   22.9        46.200001   0
2993.4   219.899994  38.099998   0
2998     359.3       53          1
3000.6   342.299988  75.199997   1
3002.0   41.900002   27.6        0
3003.7   218         46.200001   0
3010.1   302.399994  38.099998   0
3012.0   333.200012  23.5        0
3012.6   39.299999   27.6        0
3013.6   262.5       48.5        0
3014.5   284.100006  38.099998   0
3017.0   246.100006  48.5        0
3017.1   221.899994  72.800003   0
3022.1   26.799999   46.200001   0
